,Date,Open,High,Low,Close,(High-Low),(Open-Close)
287,2021-09-03,20592.50,20958.75,20560.15,20934.00,398.60,-341.50
288,2021-09-02,20270.05,20508.75,20267.10,20466.00,241.65,-195.95
289,2021-09-01,20421.05,20476.55,20323.05,20356.55,153.50,64.50
290,2021-08-31,20273.25,20340.80,20122.90,20289.70,217.90,-16.45
291,2021-08-30,20036.15,20271.20,19977.75,20243.65,293.45,-207.50
292,2021-08-27,19914.60,19966.65,19753.65,19942.45,213.00,-27.85
293,2021-08-26,19847.55,19904.10,19729.05,19865.05,175.05,-17.50
294,2021-08-25,19625.15,19797.55,19592.55,19757.25,205.00,-132.10
295,2021-08-24,19425.95,19604.35,19393.70,19562.50,210.65,-136.55
296,2021-08-23,19518.50,19518.50,19132.50,19332.15,386.00,186.35
297,2021-08-20,19436.30,19561.15,19285.20,19348.70,275.95,87.60
298,2021-08-18,19803.70,19834.55,19609.90,19685.00,224.65,118.70
299,2021-08-17,19803.05,19871.35,19584.15,19722.45,287.20,80.60
300,2021-08-16,19703.90,19888.20,19601.75,19786.05,286.45,-82.15
301,2021-08-13,19590.75,19692.10,19567.70,19677.05,124.40,-86.30
302,2021-08-12,19415.65,19629.90,19384.75,19599.05,245.15,-183.40
303,2021-08-11,19199.75,19440.35,19091.50,19400.75,348.85,-201.00
304,2021-08-10,19319.25,19370.05,19000.60,19135.75,369.45,183.50
305,2021-08-09,19458.55,19458.55,19187.45,19272.75,271.10,185.80
306,2021-08-06,19463.70,19636.45,19362.55,19411.80,273.90,51.90
307,2021-08-05,19417.75,19483.55,19228.85,19432.45,254.70,-14.70
308,2021-08-04,19463.45,19577.00,19356.30,19405.20,220.70,58.25
309,2021-08-03,19360.05,19436.80,19232.05,19385.30,204.75,-25.25
310,2021-08-02,19045.90,19252.45,18982.05,19229.15,270.40,-183.25
311,2021-07-30,19029.75,19166.95,18902.85,18934.15,264.10,95.60
312,2021-07-29,19101.30,19134.00,18928.20,18975.35,205.80,125.95
313,2021-07-28,19159.75,19162.50,18803.30,19011.75,359.20,148.00
314,2021-07-27,19320.00,19353.70,19070.90,19116.15,282.80,203.85
315,2021-07-26,19491.50,19496.55,19273.45,19300.10,223.10,191.40
316,2021-07-23,19673.95,19686.30,19465.30,19503.80,221.00,170.15
317,2021-07-22,19447.60,19632.55,19279.90,19600.05,352.65,-152.45
318,2021-07-20,19445.20,19467.55,19235.45,19309.95,232.10,135.25
319,2021-07-19,19506.90,19660.35,19428.75,19517.30,231.60,-10.40
320,2021-07-16,19484.70,19589.35,19424.25,19567.90,165.10,-83.20
321,2021-07-15,19545.00,19560.30,19397.55,19436.50,162.75,108.50
322,2021-07-14,19602.95,19681.20,19454.85,19524.75,226.35,78.20
323,2021-07-13,19583.00,19658.30,19516.10,19570.60,142.20,12.40
324,2021-07-12,19548.05,19619.10,19436.45,19467.30,182.65,80.75
